epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,9067.63,0.66739,0.44274,0.91263,0.67918,0.41263,0.44065,0.34146,0.9888,2.03361,1.105,0.00604,0.00604,0.00604
82,9179.08,0.66616,0.43691,0.91212,0.70838,0.40014,0.44594,0.34377,0.99107,2.05023,1.11379,0.0059905,0.0059905,0.0059905
83,9290.19,0.66266,0.44032,0.91166,0.72247,0.39484,0.44062,0.34304,0.9937,2.06267,1.11916,0.005941,0.005941,0.005941
84,9401.97,0.65709,0.43445,0.91736,0.75648,0.3921,0.44871,0.34753,0.98634,2.07039,1.1047,0.0058915,0.0058915,0.0058915
85,9513.6,0.66243,0.43696,0.91403,0.7043,0.40329,0.43989,0.344,0.97441,2.0657,1.10374,0.005842,0.005842,0.005842
86,9624.95,0.65302,0.42491,0.90791,0.7532,0.39682,0.44413,0.3479,0.97081,2.11655,1.10108,0.0057925,0.0057925,0.0057925
87,9736.64,0.65559,0.42781,0.91045,0.68711,0.40226,0.44557,0.34715,0.96592,2.09548,1.10322,0.005743,0.005743,0.005743
88,9848.16,0.6535,0.42545,0.90902,0.71267,0.41029,0.44799,0.34805,0.97535,2.13515,1.10444,0.0056935,0.0056935,0.0056935
89,9959.65,0.65326,0.42654,0.90806,0.72802,0.4009,0.44666,0.34847,0.96708,2.10519,1.09555,0.005644,0.005644,0.005644
90,10071.2,0.65083,0.42388,0.90375,0.71477,0.40525,0.4421,0.34274,0.97924,2.09426,1.0983,0.0055945,0.0055945,0.0055945
91,10182.6,0.65285,0.42299,0.90571,0.69366,0.40888,0.44485,0.34385,0.97336,2.10384,1.11059,0.005545,0.005545,0.005545
92,10293.9,0.64787,0.42141,0.90536,0.72946,0.39903,0.44643,0.34686,0.97709,2.10444,1.10249,0.0054955,0.0054955,0.0054955
93,10405.3,0.65902,0.43044,0.91175,0.71058,0.40736,0.44459,0.34718,0.97762,2.07664,1.10614,0.005446,0.005446,0.005446
94,10517,0.63197,0.41404,0.90449,0.73555,0.40158,0.44938,0.35141,0.97574,2.07237,1.10368,0.0053965,0.0053965,0.0053965
95,10628.3,0.64048,0.40911,0.90429,0.7137,0.4107,0.4503,0.35425,0.96947,2.07747,1.10167,0.005347,0.005347,0.005347
96,10739.7,0.63935,0.41211,0.90848,0.72632,0.40115,0.45519,0.35755,0.9632,2.06788,1.10196,0.0052975,0.0052975,0.0052975
97,10851.6,0.64374,0.41875,0.90342,0.70551,0.4098,0.45126,0.35419,0.95899,2.07024,1.10115,0.005248,0.005248,0.005248
98,10963.2,0.63139,0.40955,0.90657,0.71224,0.41179,0.45147,0.35554,0.95913,2.08294,1.1012,0.0051985,0.0051985,0.0051985
99,11074.4,0.63041,0.40967,0.90087,0.72998,0.40536,0.45386,0.35405,0.96668,2.03547,1.0984,0.005149,0.005149,0.005149
100,11186.3,0.62709,0.39868,0.89821,0.7027,0.41572,0.45122,0.35303,0.96772,2.0524,1.10027,0.0050995,0.0050995,0.0050995
101,11298.1,0.61943,0.40264,0.89969,0.7044,0.41199,0.44945,0.35144,0.96531,2.08324,1.09473,0.00505,0.00505,0.00505
102,11409.3,0.62953,0.40467,0.898,0.72258,0.40583,0.44951,0.34906,0.96981,2.13301,1.10048,0.0050005,0.0050005,0.0050005
103,11521.1,0.62401,0.39999,0.89838,0.76794,0.39873,0.44683,0.34644,0.96857,2.09135,1.10015,0.004951,0.004951,0.004951
104,11632.7,0.62207,0.40568,0.8993,0.72843,0.4003,0.45376,0.35459,0.9637,2.05874,1.09814,0.0049015,0.0049015,0.0049015
105,11743.9,0.62116,0.39695,0.8979,0.72183,0.40593,0.45251,0.35262,0.96434,2.0858,1.09785,0.004852,0.004852,0.004852
106,11855.3,0.62564,0.40446,0.90144,0.72335,0.40981,0.44984,0.35056,0.96457,2.07833,1.10399,0.0048025,0.0048025,0.0048025
107,11966.9,0.6198,0.3978,0.89617,0.727,0.41302,0.44998,0.35142,0.95842,2.10868,1.09566,0.004753,0.004753,0.004753
108,12078.3,0.62199,0.3984,0.90034,0.72607,0.40786,0.45207,0.35467,0.95803,2.10657,1.09492,0.0047035,0.0047035,0.0047035
109,12189.4,0.6137,0.39213,0.89187,0.71539,0.41215,0.45565,0.35724,0.96184,2.08119,1.09341,0.004654,0.004654,0.004654
110,12301.1,0.59945,0.38488,0.89251,0.74031,0.41439,0.45709,0.35909,0.9661,2.06271,1.10397,0.0046045,0.0046045,0.0046045
111,12412.7,0.6115,0.39088,0.8986,0.7149,0.41162,0.45268,0.35404,0.95977,2.08864,1.10353,0.004555,0.004555,0.004555
112,12523.9,0.60026,0.38089,0.89174,0.74885,0.40233,0.45276,0.35564,0.95656,2.0871,1.10137,0.0045055,0.0045055,0.0045055
113,12635.8,0.61046,0.38752,0.89496,0.72489,0.41337,0.45826,0.3598,0.94816,2.07076,1.0971,0.004456,0.004456,0.004456
114,12747.5,0.60636,0.38501,0.89298,0.72652,0.40738,0.45482,0.3582,0.94636,2.09472,1.09513,0.0044065,0.0044065,0.0044065
115,12858.8,0.60087,0.38265,0.8889,0.7301,0.40327,0.45147,0.35325,0.94878,2.07218,1.09336,0.004357,0.004357,0.004357
116,12970.4,0.59245,0.37437,0.887,0.74746,0.40822,0.45812,0.35815,0.94777,2.09076,1.09372,0.0043075,0.0043075,0.0043075
117,13082,0.60047,0.38451,0.89747,0.74113,0.41169,0.4567,0.35955,0.92962,2.07987,1.08314,0.004258,0.004258,0.004258
118,13193.3,0.59766,0.3802,0.88522,0.76583,0.39806,0.45022,0.35383,0.93491,2.07205,1.08412,0.0042085,0.0042085,0.0042085
119,13304.9,0.58934,0.37387,0.88865,0.73275,0.40271,0.45134,0.35632,0.94634,2.10389,1.09024,0.004159,0.004159,0.004159
120,13416.4,0.59416,0.37497,0.88547,0.75218,0.40111,0.45106,0.35512,0.9473,2.08386,1.09719,0.0041095,0.0041095,0.0041095
121,13527.7,0.58658,0.37159,0.88526,0.72994,0.41126,0.45206,0.35521,0.94734,2.0746,1.09852,0.00406,0.00406,0.00406
122,13639,0.5913,0.37041,0.88335,0.72252,0.41342,0.45333,0.35792,0.94636,2.09723,1.09823,0.0040105,0.0040105,0.0040105
123,13750.4,0.58527,0.36961,0.888,0.72894,0.40369,0.45603,0.35837,0.94356,2.10865,1.09377,0.003961,0.003961,0.003961
124,13861.9,0.58199,0.36779,0.88735,0.71038,0.41107,0.46053,0.36257,0.93171,2.09616,1.08052,0.0039115,0.0039115,0.0039115
125,13973.2,0.58454,0.36923,0.88314,0.69895,0.41155,0.46315,0.36456,0.94326,2.07763,1.08984,0.003862,0.003862,0.003862
126,14085.2,0.57393,0.3609,0.87917,0.73715,0.40705,0.46045,0.36191,0.95017,2.06298,1.09247,0.0038125,0.0038125,0.0038125
127,14196.6,0.56991,0.36253,0.8833,0.74371,0.41437,0.46175,0.3628,0.94855,2.06858,1.09031,0.003763,0.003763,0.003763
128,14308,0.57792,0.36474,0.88521,0.71126,0.417,0.46009,0.36215,0.94003,2.06354,1.08855,0.0037135,0.0037135,0.0037135
129,14419.7,0.57337,0.36084,0.88681,0.74512,0.40738,0.46022,0.36327,0.94073,2.10828,1.09226,0.003664,0.003664,0.003664
130,14531.5,0.57194,0.36022,0.88304,0.75009,0.40744,0.46118,0.36484,0.93135,2.10444,1.08553,0.0036145,0.0036145,0.0036145
131,14642.9,0.57943,0.36076,0.88346,0.74311,0.41527,0.46404,0.36536,0.9239,2.06411,1.07873,0.003565,0.003565,0.003565
132,14754.7,0.56424,0.35176,0.87965,0.73696,0.41557,0.464,0.36667,0.9286,2.06951,1.08575,0.0035155,0.0035155,0.0035155
133,14866.5,0.56365,0.35655,0.88117,0.7644,0.40676,0.46085,0.36379,0.92269,2.07483,1.0809,0.003466,0.003466,0.003466
134,14977.9,0.5676,0.35361,0.87967,0.72844,0.4166,0.46374,0.36568,0.91944,2.067,1.07926,0.0034165,0.0034165,0.0034165
135,15089.6,0.57006,0.3559,0.87683,0.74786,0.41066,0.46417,0.36901,0.92496,2.08035,1.07966,0.003367,0.003367,0.003367
136,15201.4,0.56136,0.34943,0.88119,0.74243,0.4147,0.46209,0.367,0.93019,2.06834,1.08618,0.0033175,0.0033175,0.0033175
137,15312.9,0.56042,0.34941,0.87526,0.76726,0.41213,0.46291,0.36607,0.93022,2.07211,1.08664,0.003268,0.003268,0.003268
138,15424.1,0.55846,0.34658,0.87836,0.77294,0.41054,0.46404,0.36661,0.92163,2.05491,1.08348,0.0032185,0.0032185,0.0032185
139,15535.6,0.55196,0.3437,0.87728,0.71308,0.42408,0.46536,0.36661,0.92708,2.05278,1.09226,0.003169,0.003169,0.003169
140,15647,0.55034,0.34566,0.87679,0.76201,0.4117,0.46714,0.36847,0.92837,2.0342,1.09301,0.0031195,0.0031195,0.0031195
141,15758.1,0.55178,0.34545,0.87957,0.79435,0.40885,0.46643,0.36899,0.92323,2.04075,1.09104,0.00307,0.00307,0.00307
142,15869.9,0.55277,0.34638,0.8764,0.73772,0.42302,0.46813,0.37015,0.92515,2.03557,1.09025,0.0030205,0.0030205,0.0030205
143,15981.4,0.553,0.34271,0.87825,0.75708,0.41773,0.4699,0.37176,0.92441,2.03579,1.09208,0.002971,0.002971,0.002971
144,16092.9,0.54457,0.33603,0.87537,0.76682,0.41189,0.46871,0.37098,0.91808,2.03441,1.08366,0.0029215,0.0029215,0.0029215
145,16204.5,0.55025,0.34159,0.8768,0.76986,0.40892,0.46818,0.37182,0.91857,2.03395,1.0845,0.002872,0.002872,0.002872
146,16316.3,0.54123,0.33492,0.87188,0.7676,0.413,0.46952,0.37242,0.91395,2.03243,1.08242,0.0028225,0.0028225,0.0028225
147,16427.6,0.5403,0.33369,0.87266,0.72306,0.42211,0.47128,0.37392,0.91352,2.0373,1.08409,0.002773,0.002773,0.002773
148,16539,0.53778,0.3335,0.87124,0.79453,0.40891,0.47129,0.37273,0.91492,2.02892,1.08733,0.0027235,0.0027235,0.0027235
149,16650.5,0.54009,0.33362,0.86884,0.79446,0.40994,0.47349,0.37528,0.92115,2.03499,1.08992,0.002674,0.002674,0.002674
150,16761.8,0.53531,0.33041,0.86804,0.78615,0.40967,0.47171,0.37437,0.92531,2.04595,1.09177,0.0026245,0.0026245,0.0026245
151,16873.1,0.5236,0.32746,0.8658,0.78033,0.41053,0.47391,0.37554,0.92618,2.04203,1.09115,0.002575,0.002575,0.002575
152,16984.9,0.53363,0.3275,0.86944,0.77021,0.41399,0.4736,0.37528,0.9193,2.06519,1.08729,0.0025255,0.0025255,0.0025255
153,17096.4,0.52617,0.32562,0.86952,0.81772,0.40389,0.47193,0.37406,0.91943,2.08476,1.08854,0.002476,0.002476,0.002476
154,17207.9,0.53148,0.32694,0.87233,0.82464,0.40235,0.47125,0.37352,0.9212,2.08738,1.08948,0.0024265,0.0024265,0.0024265
155,17319.8,0.52599,0.32384,0.8683,0.80719,0.40788,0.47297,0.3743,0.92178,2.07256,1.09275,0.002377,0.002377,0.002377
156,17431.3,0.51726,0.31766,0.86609,0.81107,0.40876,0.47259,0.37466,0.92223,2.07427,1.09313,0.0023275,0.0023275,0.0023275
157,17542.4,0.51909,0.31893,0.86711,0.79383,0.41022,0.47261,0.37613,0.91977,2.06198,1.08857,0.002278,0.002278,0.002278
158,17654.2,0.51738,0.32079,0.865,0.79842,0.40887,0.47384,0.37758,0.92479,2.0621,1.0923,0.0022285,0.0022285,0.0022285
159,17765.9,0.51819,0.3168,0.86776,0.77916,0.41242,0.47304,0.37672,0.9259,2.06246,1.09002,0.002179,0.002179,0.002179
160,17877.4,0.51147,0.317,0.86309,0.78913,0.41069,0.47272,0.37711,0.92468,2.07468,1.08616,0.0021295,0.0021295,0.0021295
161,17989.2,0.51284,0.31775,0.86403,0.77085,0.41371,0.47138,0.37704,0.92433,2.06616,1.08748,0.00208,0.00208,0.00208
