epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,4981.07,0.79855,0.56848,0.9454,0.61029,0.39399,0.40739,0.30746,1.08123,2.1628,1.10098,0.0122596,0.0122596,0.0122596
88,5038.01,0.8071,0.56944,0.93953,0.64395,0.38096,0.40063,0.3078,1.08035,2.10983,1.10043,0.0121076,0.0121076,0.0121076
89,5094.53,0.79801,0.57013,0.9429,0.66992,0.3732,0.40768,0.31348,1.06507,2.11229,1.08654,0.0119551,0.0119551,0.0119551
90,5151.11,0.79467,0.56292,0.9405,0.66723,0.38596,0.4109,0.31278,1.05933,2.13386,1.08621,0.0118021,0.0118021,0.0118021
91,5208.03,0.78858,0.56527,0.93922,0.6525,0.38605,0.40577,0.30925,1.04717,2.09905,1.07644,0.0116487,0.0116487,0.0116487
92,5265.12,0.7966,0.55894,0.93727,0.66489,0.38411,0.40723,0.31267,1.04701,2.12792,1.0779,0.0114949,0.0114949,0.0114949
93,5322.49,0.80196,0.56541,0.94003,0.6953,0.37388,0.40698,0.31083,1.06854,2.13817,1.09668,0.0113408,0.0113408,0.0113408
94,5379.2,0.78176,0.54834,0.9316,0.67102,0.38466,0.41222,0.31549,1.06206,2.1051,1.09122,0.0111864,0.0111864,0.0111864
95,5436.16,0.78694,0.54678,0.93048,0.66343,0.37801,0.40819,0.31359,1.05046,2.10163,1.08646,0.0110317,0.0110317,0.0110317
96,5492.59,0.77387,0.5368,0.93373,0.65284,0.37812,0.40426,0.31171,1.0528,2.13593,1.08271,0.0108767,0.0108767,0.0108767
97,5548.93,0.78461,0.54724,0.93356,0.68573,0.37217,0.40609,0.31072,1.06,2.14852,1.08873,0.0107216,0.0107216,0.0107216
98,5605.57,0.7726,0.53332,0.9274,0.65661,0.37669,0.40393,0.31283,1.04947,2.13376,1.08334,0.0105664,0.0105664,0.0105664
99,5662.95,0.77402,0.53308,0.9296,0.66933,0.37808,0.40953,0.31395,1.05402,2.14558,1.08434,0.010411,0.010411,0.010411
100,5719.69,0.76939,0.53459,0.92663,0.70928,0.36913,0.40643,0.31197,1.04444,2.14342,1.07858,0.0102555,0.0102555,0.0102555
101,5776.68,0.76539,0.53092,0.93069,0.6941,0.37834,0.41076,0.31429,1.04405,2.12985,1.07974,0.0101,0.0101,0.0101
102,5833.45,0.76555,0.52904,0.92624,0.64126,0.39006,0.41436,0.3184,1.04396,2.09137,1.08589,0.0099445,0.0099445,0.0099445
103,5889.61,0.74585,0.50925,0.92027,0.7075,0.37741,0.41757,0.32081,1.0431,2.12984,1.08534,0.00978903,0.00978903,0.00978903
104,5946.28,0.74969,0.51857,0.92337,0.65733,0.3906,0.41965,0.32067,1.04636,2.1504,1.08581,0.00963365,0.00963365,0.00963365
105,6003.47,0.75081,0.51104,0.92515,0.68005,0.38851,0.41739,0.32017,1.04342,2.14368,1.08419,0.00947837,0.00947837,0.00947837
106,6060.47,0.73604,0.50436,0.92219,0.66558,0.38669,0.41262,0.3173,1.04376,2.14302,1.08602,0.00932325,0.00932325,0.00932325
107,6117.36,0.75004,0.5141,0.92776,0.64801,0.398,0.41059,0.31357,1.04393,2.16112,1.08515,0.00916833,0.00916833,0.00916833
108,6174.19,0.74664,0.50803,0.92163,0.66354,0.39257,0.40931,0.314,1.05245,2.17059,1.08722,0.00901363,0.00901363,0.00901363
109,6230.5,0.73366,0.49575,0.91532,0.66404,0.39847,0.41933,0.32151,1.05392,2.15555,1.09221,0.0088592,0.0088592,0.0088592
110,6286.96,0.73808,0.505,0.9205,0.705,0.39154,0.42054,0.32246,1.03494,2.12489,1.08612,0.00870508,0.00870508,0.00870508
111,6344.02,0.73441,0.499,0.91522,0.71162,0.38523,0.41801,0.32341,1.03079,2.13767,1.08077,0.0085513,0.0085513,0.0085513
112,6401.29,0.73366,0.49892,0.91704,0.69725,0.38506,0.41583,0.32182,1.03031,2.15522,1.07649,0.0083979,0.0083979,0.0083979
113,6457.57,0.7298,0.4959,0.91996,0.69184,0.38653,0.41529,0.32143,1.02587,2.15309,1.07272,0.00824492,0.00824492,0.00824492
114,6514.67,0.72528,0.49485,0.91387,0.68669,0.38628,0.41178,0.31874,1.0312,2.16527,1.07199,0.00809241,0.00809241,0.00809241
115,6571.67,0.73317,0.49038,0.91763,0.70456,0.38422,0.41379,0.31794,1.03931,2.15313,1.07659,0.00794038,0.00794038,0.00794038
116,6628.19,0.71837,0.47924,0.90931,0.67075,0.39401,0.41639,0.32084,1.032,2.11312,1.07185,0.00778889,0.00778889,0.00778889
117,6684.7,0.70488,0.47281,0.90896,0.70229,0.39358,0.42166,0.32558,1.02711,2.10282,1.06983,0.00763797,0.00763797,0.00763797
118,6741.98,0.71104,0.47666,0.91115,0.73414,0.38067,0.41583,0.32143,1.03176,2.11124,1.07104,0.00748766,0.00748766,0.00748766
119,6798.54,0.70712,0.47102,0.90805,0.72223,0.37811,0.41251,0.31924,1.0235,2.13679,1.06808,0.00733799,0.00733799,0.00733799
120,6855.35,0.71023,0.46822,0.90816,0.66174,0.39302,0.41795,0.32405,1.0287,2.14456,1.0743,0.007189,0.007189,0.007189
121,6911.87,0.70891,0.47616,0.9055,0.69694,0.3912,0.42168,0.32726,1.02487,2.16738,1.06769,0.00704073,0.00704073,0.00704073
122,6968.26,0.70334,0.46841,0.90673,0.67999,0.39811,0.4246,0.32849,1.01636,2.14043,1.064,0.00689322,0.00689322,0.00689322
123,7024.72,0.6893,0.46064,0.90522,0.68784,0.39628,0.4277,0.33151,1.01561,2.13462,1.06982,0.00674649,0.00674649,0.00674649
124,7081.56,0.70299,0.45952,0.90423,0.66615,0.40778,0.42894,0.33148,1.02155,2.14454,1.07354,0.0066006,0.0066006,0.0066006
125,7138.47,0.68329,0.45496,0.89802,0.69047,0.39563,0.42702,0.33069,1.01376,2.14447,1.06884,0.00645557,0.00645557,0.00645557
126,7195.1,0.68665,0.45251,0.90279,0.68665,0.39364,0.4263,0.33031,1.01122,2.15726,1.07043,0.00631143,0.00631143,0.00631143
127,7251.72,0.68747,0.45173,0.90375,0.72501,0.38441,0.42925,0.33216,1.00658,2.16347,1.0641,0.00616824,0.00616824,0.00616824
128,7307.95,0.68614,0.45183,0.90234,0.65316,0.40989,0.43252,0.334,1.00805,2.14758,1.06067,0.00602601,0.00602601,0.00602601
129,7364.53,0.69449,0.45214,0.90304,0.68375,0.39889,0.42828,0.33211,1.00927,2.15469,1.06099,0.00588479,0.00588479,0.00588479
130,7421.26,0.68073,0.44466,0.90192,0.65937,0.40429,0.42554,0.33017,1.0104,2.15046,1.06625,0.0057446,0.0057446,0.0057446
131,7478.35,0.6733,0.44162,0.89858,0.66664,0.39873,0.42297,0.32831,1.00973,2.16615,1.06318,0.00560549,0.00560549,0.00560549
132,7534.84,0.66962,0.43615,0.89786,0.66889,0.39989,0.42472,0.32905,1.0075,2.151,1.06647,0.00546749,0.00546749,0.00546749
133,7591.94,0.67598,0.44096,0.89844,0.69092,0.40069,0.43029,0.33287,1.00699,2.15153,1.06563,0.00533064,0.00533064,0.00533064
134,7647.92,0.67079,0.437,0.89454,0.67211,0.40345,0.43112,0.33382,1.00848,2.14833,1.06764,0.00519496,0.00519496,0.00519496
135,7704.29,0.6617,0.43572,0.89644,0.72228,0.38827,0.43317,0.33618,1.0077,2.16019,1.06532,0.00506049,0.00506049,0.00506049
136,7760.86,0.66205,0.43247,0.8945,0.71002,0.39766,0.43452,0.33717,1.00779,2.17853,1.06389,0.00492726,0.00492726,0.00492726
137,7818.05,0.65553,0.42884,0.89193,0.7126,0.40069,0.43427,0.33728,1.0076,2.18413,1.06197,0.00479531,0.00479531,0.00479531
